road,random--la11,random--la14,random--la17,random--la18,random--la111,random--la115,random--la117,random--la102,random--la103,random--la105,random--la108,random--la109,random--la1012,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la28,random--la210,random--la211,random--la213,random--la214,random--la215,random--la216,random--la218,random--la219,random--la220,random--la222,random--la31,random--la35,random--la36,random--la37,random--la38,random--la310,random--la311,random--la318,random--la321,random--la322,random--la323,random--la42,random--la44,random--la46,random--la49,random--la412,random--la413,random--la414,random--la415,random--la53,random--la56,random--la57,random--la58,random--la59,random--la510,random--la511,random--la517,random--la518,random--la520,random--la61,random--la62,random--la63,random--la66,random--la68,random--la610,random--la614,random--la615,random--la616,random--la617,random--la619,random--la621,random--la622,random--la623,random--la625,random--la626,random--la627,random--la72,random--la74,random--la75,random--la77,random--la79,random--la711,random--la713,random--la714,random--la716,random--la718,random--la719,random--la82,random--la84,random--la85,random--la87,random--la88,random--la810,random--la811,random--la813,random--la814,random--la816,random--la818,random--la819,random--la820,random--la821,random--la822,random--la824,random--la92,random--la93,random--la96,random--la98,random--la910,random--la912,random--la914,random--la916,random--la917,random--la918,random--la921,random--la922,random--la923 
random--la92,0.21052631578947367,0.11764705882352941,0.2,0.21052631578947367,0.29411764705882354,0.4444444444444444,0.15789473684210525,0.2777777777777778,0.3076923076923077,0.23529411764705882,0.3333333333333333,0.11764705882352941,0.23076923076923078,0.2857142857142857,0.25,0.1,0.21052631578947367,0.42857142857142855,0.25,0.23529411764705882,0.375,0.1111111111111111,0.35,0.15384615384615385,0.1111111111111111,0.2,0.21052631578947367,0.26666666666666666,0.375,0.15,0.3076923076923077,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.25,0.15,0.3333333333333333,0.3333333333333333,0.25,0.25,0.2,0.2,0.35294117647058826,0.23529411764705882,0.2631578947368421,0.3333333333333333,0.42857142857142855,0.2,0.21052631578947367,0.29411764705882354,0.25,0.36363636363636365,0.4166666666666667,0.3,0.2,0.375,0.25,0.2,0.21052631578947367,0.15,0.2222222222222222,0.2,0.17647058823529413,0.2,0.3,0.2222222222222222,0.3,0.2,0.29411764705882354,0.38461538461538464,0.25,0.2,0.42857142857142855,0.26666666666666666,0.25,0.16666666666666666,0.2,0.25,0.23076923076923078,0.35714285714285715,0.35714285714285715,0.11764705882352941,0.3333333333333333,0.4,0.23076923076923078,0.4,0.1875,0.2631578947368421,0.2222222222222222,0.125,0.3076923076923077,0.38461538461538464,0.35714285714285715,0.13333333333333333,0.23529411764705882,0.25,0.4166666666666667,0.17647058823529413,0.25,0.16666666666666666,0.3,0.15,1.0,0.15789473684210525,0.3333333333333333,0.2857142857142857,0.17647058823529413,0.2631578947368421,0.3,0.21428571428571427,0.35714285714285715,0.1,0.2,0.2222222222222222,0.17647058823529413
random--la93,0.2631578947368421,0.4117647058823529,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.4444444444444444,0.2631578947368421,0.16666666666666666,0.23076923076923078,0.17647058823529413,0.25,0.29411764705882354,0.46153846153846156,0.2857142857142857,0.25,0.21052631578947367,0.3157894736842105,0.5714285714285714,0.3333333333333333,0.29411764705882354,0.375,0.4444444444444444,0.21052631578947367,0.46153846153846156,0.2222222222222222,0.4,0.21052631578947367,0.2,0.125,0.15789473684210525,0.23076923076923078,0.4444444444444444,0.29411764705882354,0.2,0.21052631578947367,0.2631578947368421,0.16666666666666666,0.25,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.4,0.17647058823529413,0.35294117647058826,0.3157894736842105,0.16666666666666666,0.21428571428571427,0.21052631578947367,0.2631578947368421,0.17647058823529413,0.3157894736842105,0.45454545454545453,0.3333333333333333,0.2631578947368421,0.21052631578947367,0.375,0.3333333333333333,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.2777777777777778,0.3157894736842105,0.23529411764705882,0.3157894736842105,0.5,0.2777777777777778,0.3157894736842105,0.3684210526315789,0.29411764705882354,0.3076923076923077,0.3333333333333333,0.26666666666666666,0.2857142857142857,0.26666666666666666,0.3125,0.16666666666666666,0.6,0.15789473684210525,0.23076923076923078,0.35714285714285715,0.2857142857142857,0.29411764705882354,0.4,0.4,0.3076923076923077,0.26666666666666666,0.3125,0.3157894736842105,0.2222222222222222,0.25,0.38461538461538464,0.23076923076923078,0.35714285714285715,0.26666666666666666,0.29411764705882354,0.3684210526315789,0.3333333333333333,0.17647058823529413,0.3125,0.2222222222222222,0.2631578947368421,0.3684210526315789,0.15789473684210525,1.0,0.16666666666666666,0.21428571428571427,0.35294117647058826,0.21052631578947367,0.21052631578947367,0.2857142857142857,0.2857142857142857,0.2631578947368421,0.3157894736842105,0.3333333333333333,0.23529411764705882
random--la96,0.16666666666666666,0.25,0.25,0.3333333333333333,0.25,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.375,0.1111111111111111,0.25,0.08333333333333333,0.16666666666666666,0.2,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.2222222222222222,0.3333333333333333,0.25,0.25,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.25,0.3333333333333333,0.25,0.4166666666666667,0.16666666666666666,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.25,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.25,0.4166666666666667,0.25,0.16666666666666666,0.25,0.16666666666666666,0.2,0.25,0.4166666666666667,0.25,0.25,0.25,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1,0.3333333333333333,0.16666666666666666,0.25,0.25,0.16666666666666666,0.16666666666666666,0.4,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.25,0.25,0.25,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25,0.16666666666666666
random--la98,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.2222222222222222,0.14285714285714285,0.21428571428571427,0.23076923076923078,0.21428571428571427,0.25,0.2857142857142857,0.15384615384615385,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.25,0.21428571428571427,0.5,0.2222222222222222,0.21428571428571427,0.15384615384615385,0.14285714285714285,0.2,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.15384615384615385,0.1111111111111111,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.25,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.09090909090909091,0.25,0.21428571428571427,0.35714285714285715,0.375,0.16666666666666666,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.23076923076923078,0.4166666666666667,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.2,0.21428571428571427,0.23076923076923078,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.4,0.46153846153846156,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.23076923076923078,0.38461538461538464,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.16666666666666666,1.0,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.2857142857142857
random--la910,0.23529411764705882,0.23529411764705882,0.13333333333333333,0.29411764705882354,0.35294117647058826,0.2222222222222222,0.23529411764705882,0.17647058823529413,0.3076923076923077,0.23529411764705882,0.16666666666666666,0.17647058823529413,0.23076923076923078,0.21428571428571427,0.1875,0.29411764705882354,0.29411764705882354,0.42857142857142855,0.25,0.29411764705882354,0.5,0.4444444444444444,0.29411764705882354,0.3076923076923077,0.17647058823529413,0.4,0.29411764705882354,0.2,0.1875,0.17647058823529413,0.3076923076923077,0.2222222222222222,0.29411764705882354,0.26666666666666666,0.23529411764705882,0.29411764705882354,0.25,0.25,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.26666666666666666,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.2857142857142857,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.36363636363636365,0.25,0.35294117647058826,0.23529411764705882,0.375,0.3333333333333333,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.3,0.17647058823529413,0.35294117647058826,0.17647058823529413,0.29411764705882354,0.23076923076923078,0.16666666666666666,0.2,0.21428571428571427,0.3333333333333333,0.1875,0.3333333333333333,0.4,0.11764705882352941,0.38461538461538464,0.21428571428571427,0.21428571428571427,0.17647058823529413,0.3333333333333333,0.4,0.15384615384615385,0.26666666666666666,0.25,0.23529411764705882,0.17647058823529413,0.25,0.23076923076923078,0.23076923076923078,0.35714285714285715,0.3333333333333333,0.17647058823529413,0.4117647058823529,0.4166666666666667,0.17647058823529413,0.1875,0.23529411764705882,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.35294117647058826,0.25,0.21428571428571427,1.0,0.35294117647058826,0.29411764705882354,0.2857142857142857,0.21428571428571427,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.17647058823529413
random--la912,0.21052631578947367,0.35294117647058826,0.13333333333333333,0.3157894736842105,0.23529411764705882,0.4444444444444444,0.21052631578947367,0.2777777777777778,0.23076923076923078,0.17647058823529413,0.16666666666666666,0.23529411764705882,0.3076923076923077,0.2857142857142857,0.3125,0.21052631578947367,0.3157894736842105,0.42857142857142855,0.3333333333333333,0.23529411764705882,0.375,0.4444444444444444,0.3157894736842105,0.3076923076923077,0.2222222222222222,0.4,0.2631578947368421,0.26666666666666666,0.3125,0.15789473684210525,0.3076923076923077,0.3333333333333333,0.29411764705882354,0.2,0.2631578947368421,0.2631578947368421,0.3333333333333333,0.4166666666666667,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.3333333333333333,0.17647058823529413,0.35294117647058826,0.3157894736842105,0.16666666666666666,0.2857142857142857,0.3684210526315789,0.2631578947368421,0.29411764705882354,0.2631578947368421,0.36363636363636365,0.16666666666666666,0.3684210526315789,0.15789473684210525,0.375,0.5,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2222222222222222,0.3157894736842105,0.35294117647058826,0.5263157894736842,0.3,0.2777777777777778,0.2631578947368421,0.21052631578947367,0.35294117647058826,0.38461538461538464,0.3333333333333333,0.26666666666666666,0.21428571428571427,0.2,0.1875,0.3333333333333333,0.4,0.21052631578947367,0.3076923076923077,0.2857142857142857,0.35714285714285715,0.23529411764705882,0.26666666666666666,0.6,0.23076923076923078,0.26666666666666666,0.4375,0.2631578947368421,0.2222222222222222,0.25,0.38461538461538464,0.3076923076923077,0.5,0.26666666666666666,0.29411764705882354,0.21052631578947367,0.3333333333333333,0.29411764705882354,0.3125,0.2777777777777778,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.25,0.2857142857142857,0.35294117647058826,1.0,0.3684210526315789,0.2857142857142857,0.2857142857142857,0.2631578947368421,0.3157894736842105,0.2222222222222222,0.17647058823529413
random--la914,0.21052631578947367,0.29411764705882354,0.26666666666666666,0.3157894736842105,0.23529411764705882,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.3076923076923077,0.23529411764705882,0.4166666666666667,0.17647058823529413,0.3076923076923077,0.35714285714285715,0.25,0.25,0.3684210526315789,0.42857142857142855,0.3333333333333333,0.23529411764705882,0.375,0.4444444444444444,0.25,0.38461538461538464,0.2222222222222222,0.3,0.3684210526315789,0.2,0.375,0.23809523809523808,0.3076923076923077,0.4444444444444444,0.29411764705882354,0.26666666666666666,0.21739130434782608,0.38095238095238093,0.3333333333333333,0.4166666666666667,0.13636363636363635,0.25,0.2916666666666667,0.3333333333333333,0.23529411764705882,0.35294117647058826,0.2631578947368421,0.2222222222222222,0.35714285714285715,0.2,0.15789473684210525,0.35294117647058826,0.25,0.2727272727272727,0.25,0.25,0.19047619047619047,0.375,0.5,0.2,0.3157894736842105,0.20833333333333334,0.2777777777777778,0.25,0.35294117647058826,0.375,0.3,0.2222222222222222,0.2916666666666667,0.2,0.29411764705882354,0.38461538461538464,0.4166666666666667,0.3333333333333333,0.2857142857142857,0.2,0.25,0.3333333333333333,0.4,0.18181818181818182,0.38461538461538464,0.2857142857142857,0.35714285714285715,0.17647058823529413,0.3333333333333333,0.4,0.46153846153846156,0.3333333333333333,0.3125,0.2631578947368421,0.3333333333333333,0.375,0.3076923076923077,0.3076923076923077,0.42857142857142855,0.26666666666666666,0.23529411764705882,0.3,0.5,0.35294117647058826,0.25,0.2777777777777778,0.2857142857142857,0.3,0.3,0.21052631578947367,0.25,0.2857142857142857,0.29411764705882354,0.3684210526315789,1.0,0.2857142857142857,0.42857142857142855,0.23809523809523808,0.35,0.2222222222222222,0.23529411764705882
random--la916,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.2222222222222222,0.07142857142857142,0.42857142857142855,0.15384615384615385,0.21428571428571427,0.16666666666666666,0.2857142857142857,0.23076923076923078,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.16666666666666666,0.14285714285714285,0.5,0.3333333333333333,0.21428571428571427,0.3076923076923077,0.21428571428571427,0.3,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.15384615384615385,0.1111111111111111,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.2727272727272727,0.4166666666666667,0.2857142857142857,0.21428571428571427,0.25,0.25,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.4,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.38461538461538464,0.3333333333333333,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.16666666666666666,0.2,0.21428571428571427,0.23076923076923078,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.6,0.3076923076923077,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.23076923076923078,0.23076923076923078,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.16666666666666666,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.21428571428571427
random--la917,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.3333333333333333,0.35714285714285715,0.14285714285714285,0.15384615384615385,0.21428571428571427,0.16666666666666666,0.21428571428571427,0.23076923076923078,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.08333333333333333,0.14285714285714285,0.125,0.2222222222222222,0.35714285714285715,0.23076923076923078,0.21428571428571427,0.1,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.23076923076923078,0.2222222222222222,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.25,0.3333333333333333,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.2727272727272727,0.25,0.2857142857142857,0.21428571428571427,0.375,0.16666666666666666,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.3,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.15384615384615385,0.25,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.25,0.3,0.14285714285714285,0.3076923076923077,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.6,0.23076923076923078,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.15384615384615385,0.15384615384615385,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.25,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.16666666666666666,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.21428571428571427,1.0,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.21428571428571427
random--la918,0.15789473684210525,0.35294117647058826,0.26666666666666666,0.2631578947368421,0.23529411764705882,0.3333333333333333,0.21052631578947367,0.2222222222222222,0.3076923076923077,0.17647058823529413,0.16666666666666666,0.23529411764705882,0.23076923076923078,0.42857142857142855,0.125,0.3,0.2631578947368421,0.2857142857142857,0.25,0.23529411764705882,0.125,0.3333333333333333,0.14285714285714285,0.46153846153846156,0.16666666666666666,0.4,0.21052631578947367,0.13333333333333333,0.25,0.19047619047619047,0.23076923076923078,0.3333333333333333,0.23529411764705882,0.06666666666666667,0.23809523809523808,0.2857142857142857,0.16666666666666666,0.4166666666666667,0.19047619047619047,0.3,0.19047619047619047,0.3333333333333333,0.23529411764705882,0.23529411764705882,0.15789473684210525,0.16666666666666666,0.21428571428571427,0.35,0.15789473684210525,0.29411764705882354,0.2857142857142857,0.2727272727272727,0.25,0.2,0.14285714285714285,0.125,0.5,0.15,0.21052631578947367,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.17647058823529413,0.23809523809523808,0.2,0.16666666666666666,0.23809523809523808,0.15,0.23529411764705882,0.15384615384615385,0.25,0.13333333333333333,0.2857142857142857,0.2,0.1875,0.16666666666666666,0.2,0.23809523809523808,0.3076923076923077,0.35714285714285715,0.2857142857142857,0.29411764705882354,0.13333333333333333,0.2,0.3076923076923077,0.13333333333333333,0.3125,0.42105263157894735,0.2777777777777778,0.1875,0.38461538461538464,0.23076923076923078,0.21428571428571427,0.2,0.17647058823529413,0.3,0.16666666666666666,0.23529411764705882,0.3125,0.2222222222222222,0.19047619047619047,0.25,0.1,0.2631578947368421,0.25,0.21428571428571427,0.29411764705882354,0.2631578947368421,0.23809523809523808,0.35714285714285715,0.21428571428571427,1.0,0.25,0.1111111111111111,0.17647058823529413
